_nid|_title|_photograph
67|Microcebus murinus|Microcebus-murinus
69|Microcebus murinus image|2009_01_Madagascar_221(clc)small
70|Gray mouse lemur (Microcebus murinus), Kirindy Forest (photo by R. A. Mittermeier).|MmurinusMandenaHAPKE(clc)
71|Microcebus griseorufus profile|Microcebus-griseorufus_2
73|Microcebus griseorufus|Microcebus-griseorufus-(1)(clc)
74|Microcebus griseorufus|2006_09_CAM_MAD_295(clc)
75|Microcebus berthae  profile|Microcebus-berthae
77|Microcebus berthae|berthe's-mouse-lemur(clc)
78|Microcebus berthae |2007_07_Madagascar_030(clc)edited
79|Microcebus berthae |Madame-Berthe's-Mouse-Lemur_Microcebus-berthae
80|Microcebus myoxinus profile|Microcebus-myoxinus
82|Microcebus myoxinus|BEM043(clc)
83|Microcebus ravelobensis profile|microcebus-ravelobensis
85|Microcebus ravelobensis|Microcebus-ravelobensis_Inaki-Relanzon(extra-black(
86|Microcebus bongolavensis profile|Microcebus-bongolavensis
88|Microcebus bongolavensis|OCT008(clc)
89|Microcebus danfossi profile|Microcebus-danfossi
91|Microcebus danfossi|ANDALIRANO-2007-(10)(clc)(crop)
92|Microcebus margotmarshae profile|Microcebus-margotmarshae
94|Microcebus margotmarshae|Microcebus-margotmarshae-(1)(clc)
95|Microcebus sambiranensis profile|Microcebus-sambiranensis
97|Microcebus sambiranensis|DSC_0046(clc)
98|Microcebus sambiranensis|116(clc)
99|Microcebus mamiratra profile|Microcebus-mamiratra
101|Microcebus mamiratra|2006_09_CAM_MAD_589(clc2)
102|Microcebus tavaratra profile|Microcebus-tavaratra
104|Microcebus tavaratra|2005_10_MAD_126(crop)
105|Microcebus tavaratra|Northern-Brown-Mouse-Lemur_Microcebus-tavaratra
106|Microcebus arnholdi profile|Microcebus-arnholdi
108|Microcebus arnholdi|Microcebus-arnholdi-Montagne-d'Ambre-Ed(clc)
109|Microcebus rufus profile|Microcebus-rufus
111|Microcebus rufus|MrufusSteLuceHAPKE(clc)
112|Microcebus rufus|2009-2010_12-01_Mad_343(clc)
113|Microcebus rufus|MicrocebusDSC_0092LOUIS(clc)
114|Microcebus jollyae profile|Microcebus-jollyae
116|Microcebus jollyae|2009-2010_12-01_Mad_362(clc)
117|Microcebus jollyae|Jolly's-Mouse-Lemur_Microcebus-jollyae(clc)
118|Microcebus lehilahytsara profile|Microcebus-lehilahytsara
120|Microcebus lehilahytsara|Goodman's-Mouse-Lemur_Microcebus-lehilahytsara
121|Microcebus simmonsi profile|Microcebus-simmonsi
123|Microcebus simmonsi|2009-2010_12-01_Mad_337(clc)small
124|Microcebus simmonsi|Simmons'-Mouse-Lemur_Microcebus-simmonsi(clc)
125|Microcebus macarthurii profile|Microcebus-macarthurii
127|Microcebus macarthurii|Microcebus-macarthurii-(1)
